road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
urban,1,0.3588,60,daylight,clear,True,True,morning,False,True,1,0.1488
highway,4,0.3403,45,daylight,rainy,True,True,morning,False,False,6,0.3366
rural,6,0.5722,45,night,clear,True,True,morning,False,True,7,0.4602
rural,2,0.4649,45,dim,clear,True,True,afternoon,False,False,7,0.4314
urban,2,0.282,45,night,foggy,True,True,evening,False,False,9,0.4101
urban,1,0.4654,60,night,clear,True,True,morning,False,False,3,0.224
urban,1,0.1792,60,daylight,rainy,True,True,afternoon,False,False,7,0.2777
highway,4,0.1878,25,night,clear,True,True,morning,False,False,3,0.3192
rural,5,0.305,35,daylight,clear,True,True,afternoon,False,False,1,0.2159
rural,2,0.171,35,night,clear,True,True,evening,False,True,9,0.4863
urban,2,0.5314,25,daylight,foggy,True,True,evening,False,False,5,0.3632
highway,5,0.1306,45,dim,clear,False,True,evening,False,True,5,0.4799
highway,4,0.4425,45,daylight,rainy,True,True,evening,False,False,3,0.3558
urban,3,0.0769,35,dim,rainy,True,True,afternoon,False,False,4,0.2171
urban,3,0.6221,45,dim,clear,True,True,evening,False,True,3,0.3059
urban,2,0.2427,35,dim,clear,True,False,evening,False,False,3,0.1679
urban,3,0.5505,60,daylight,clear,True,True,morning,False,True,9,0.3213
rural,4,0.5016,45,daylight,rainy,True,True,afternoon,True,False,6,0.3533
urban,3,0.2968,60,night,clear,True,True,afternoon,False,True,10,0.3672
urban,1,0.1006,45,daylight,rainy,True,True,evening,False,False,6,0.2369
rural,4,0.5568,70,daylight,foggy,True,True,afternoon,False,True,6,0.5755
urban,5,0.421,45,daylight,foggy,True,True,evening,False,False,8,0.417
urban,2,0.1382,45,daylight,foggy,False,True,evening,False,True,8,0.3929
urban,4,0.2414,25,daylight,clear,True,False,morning,False,False,0,0.1356
rural,3,0.2662,25,night,clear,True,True,afternoon,False,True,1,0.3009
rural,4,0.0573,45,daylight,clear,True,True,morning,False,True,3,0.3051
urban,6,0.3932,35,daylight,rainy,False,True,evening,True,False,0,0.3312
rural,5,0.2755,35,night,foggy,True,True,afternoon,False,False,5,0.468
rural,6,0.3721,35,daylight,rainy,True,True,afternoon,False,True,10,0.4277
urban,4,0.2631,45,night,clear,False,True,evening,False,True,8,0.4476
rural,5,0.3124,45,daylight,foggy,True,True,afternoon,False,False,0,0.2452
urban,5,0.399,45,daylight,rainy,False,True,evening,False,False,7,0.382
urban,4,0.256,70,dim,clear,True,True,afternoon,False,True,2,0.2107
highway,2,0.1545,60,daylight,rainy,True,True,afternoon,False,False,4,0.2961
highway,2,0.677,45,daylight,foggy,True,True,evening,False,False,8,0.4528
highway,3,0.3189,45,night,rainy,True,True,evening,False,True,0,0.4286
urban,6,0.5649,60,daylight,clear,False,True,afternoon,True,True,7,0.3792
urban,4,0.3625,45,dim,rainy,False,True,afternoon,False,True,8,0.3673
rural,6,0.1164,70,daylight,clear,True,True,evening,False,False,8,0.4222
urban,6,0.2582,45,daylight,foggy,False,True,morning,False,True,6,0.4001
urban,4,0.2671,35,dim,rainy,True,True,morning,False,False,5,0.2429
rural,1,0.27,45,daylight,clear,True,True,afternoon,False,False,1,0.1624
urban,2,0.5766,60,night,rainy,False,False,afternoon,False,True,10,0.4645
highway,5,0.1671,60,daylight,foggy,True,True,evening,False,False,7,0.4956
urban,1,0.4043,35,night,clear,True,True,morning,False,True,5,0.275
rural,4,0.2754,35,daylight,clear,False,False,morning,False,False,5,0.3488
urban,1,0.384,45,daylight,clear,True,True,afternoon,False,False,9,0.2187
rural,2,0.3073,35,night,rainy,False,True,evening,True,False,9,0.587
rural,4,0.5622,35,dim,clear,True,True,morning,False,True,2,0.351
urban,6,0.3041,60,daylight,clear,True,True,evening,True,False,6,0.3574
highway,6,0.3304,25,daylight,clear,True,True,afternoon,False,True,10,0.3218
rural,2,0.0961,45,daylight,clear,True,True,afternoon,False,False,1,0.2475
highway,1,0.258,45,night,rainy,True,True,morning,False,False,2,0.3084
highway,3,0.2685,45,night,rainy,True,False,evening,False,True,7,0.5936
rural,5,0.454,25,dim,foggy,True,True,evening,False,True,7,0.5501
highway,5,0.0347,70,night,clear,True,True,afternoon,False,True,9,0.4229
urban,3,0.3651,45,daylight,clear,False,False,afternoon,False,False,0,0.1442
urban,3,0.188,60,night,rainy,True,True,morning,False,False,9,0.3662
